title,description,coverImage,author,isbn,publisher,year,category,location,isHighlighted,isBorrowed,createdAt,updatedAt
Integer ac neque.,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Janek Pepperd,181856855-1,Friesen-Kertzmann,1992,Arts,Shelf A2,false,false,"{""$date"":""2025-03-26T08:45:06.000Z""}","{""$date"":""2025-03-26T08:45:06.000Z""}"
In quis justo.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Buddie Dinnis,604621827-6,"Watsica, Borer and Trantow",2002,Environment,Shelf A1,true,false,"{""$date"":""2025-10-15T19:58:16.000Z""}","{""$date"":""2025-10-15T19:58:16.000Z""}"
Donec quis orci eget orci vehicula condimentum.,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Lauraine Springtorpe,401713074-7,"Hermiston, Littel and Kerluke",2005,Arts,Shelf B3,true,true,"{""$date"":""2025-01-28T11:38:15.000Z""}","{""$date"":""2025-01-28T11:38:15.000Z""}"
Donec ut dolor.,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Davy Millthorpe,365660661-7,Volkman and Sons,1987,Business,Shelf B1,true,true,"{""$date"":""2025-10-05T14:27:05.000Z""}","{""$date"":""2025-10-05T14:27:05.000Z""}"
Donec quis orci eget orci vehicula condimentum.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Binny Riveles,581425948-5,"Wunsch, Von and Upton",1985,Arts,Shelf B1,true,false,"{""$date"":""2025-07-23T23:07:44.000Z""}","{""$date"":""2025-07-23T23:07:44.000Z""}"
Maecenas ut massa quis augue luctus tincidunt.,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Iorgos Portal,134701736-4,Armstrong Inc,2011,Education,Shelf B1,false,true,"{""$date"":""2025-02-08T12:42:03.000Z""}","{""$date"":""2025-02-08T12:42:03.000Z""}"
Integer ac neque.,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Alisun Edge,156542010-1,"Kautzer, Bernier and Reynolds",2012,Environment,Shelf C2,false,true,"{""$date"":""2025-09-18T18:27:32.000Z""}","{""$date"":""2025-09-18T18:27:32.000Z""}"
Suspendisse ornare consequat lectus.,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Tobit Cuppitt,827284146-0,Fadel-Douglas,1991,Technology,Shelf A3,false,true,"{""$date"":""2025-08-19T17:06:18.000Z""}","{""$date"":""2025-08-19T17:06:18.000Z""}"
Duis bibendum.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Ardene Bedbrough,175241200-1,Kerluke-Yundt,1999,Science,Shelf A2,true,true,"{""$date"":""2025-09-05T02:23:04.000Z""}","{""$date"":""2025-09-05T02:23:04.000Z""}"
Suspendisse potenti.,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Jefferey Trask,664049438-8,Leannon-Cassin,1999,Philosophy,Shelf C2,true,true,"{""$date"":""2025-04-10T16:22:40.000Z""}","{""$date"":""2025-04-10T16:22:40.000Z""}"
"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Goraud Gounot,664135700-7,"Little, Metz and Gislason",2001,Arts,Shelf B1,true,false,"{""$date"":""2025-05-20T06:31:03.000Z""}","{""$date"":""2025-05-20T06:31:03.000Z""}"
In blandit ultrices enim.,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Matthew Curwen,395281222-6,"Schulist, Kessler and Littel",1996,Psychology,Shelf B3,true,false,"{""$date"":""2025-06-18T07:50:24.000Z""}","{""$date"":""2025-06-18T07:50:24.000Z""}"
Sed accumsan felis.,"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Booth Petrolli,409951355-6,Bins and Sons,1993,Education,Shelf B2,true,true,"{""$date"":""2025-09-21T23:41:18.000Z""}","{""$date"":""2025-09-21T23:41:18.000Z""}"
Praesent lectus.,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Nicolle Enever,140127496-X,Ernser-Zboncak,2012,Health,Shelf A1,false,true,"{""$date"":""2024-10-25T12:23:56.000Z""}","{""$date"":""2024-10-25T12:23:56.000Z""}"
Cras pellentesque volutpat dui.,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Niles Woodsford,659833177-3,Reinger Group,1994,Economics,Shelf A3,true,false,"{""$date"":""2025-04-05T10:49:44.000Z""}","{""$date"":""2025-04-05T10:49:44.000Z""}"
"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Geri Hallyburton,073973665-5,"Dibbert, Kling and Buckridge",2009,Technology,Shelf A1,false,true,"{""$date"":""2025-01-30T08:33:38.000Z""}","{""$date"":""2025-01-30T08:33:38.000Z""}"
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Luca Stanbury,942600117-4,Yost-Thiel,1998,Education,Shelf A1,false,false,"{""$date"":""2025-10-20T15:26:35.000Z""}","{""$date"":""2025-10-20T15:26:35.000Z""}"
Etiam justo.,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Ofella Peak,235087731-0,Conroy-Larson,1994,Mathematics,Shelf A2,false,false,"{""$date"":""2025-06-06T16:04:02.000Z""}","{""$date"":""2025-06-06T16:04:02.000Z""}"
"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.","Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Briana Crichley,713979734-X,Greenfelder-Trantow,1990,Politics,Shelf C2,true,true,"{""$date"":""2024-12-07T21:16:00.000Z""}","{""$date"":""2024-12-07T21:16:00.000Z""}"
Proin risus.,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Frasquito Sellars,502667419-4,"Bechtelar, Rogahn and Prosacco",1993,Law,Shelf C1,true,false,"{""$date"":""2025-07-18T11:12:05.000Z""}","{""$date"":""2025-07-18T11:12:05.000Z""}"
Etiam justo.,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Julissa Crawford,252314164-7,"Kautzer, Berge and Hansen",2010,History,Shelf C2,true,false,"{""$date"":""2025-01-22T00:52:43.000Z""}","{""$date"":""2025-01-22T00:52:43.000Z""}"
Ut at dolor quis odio consequat varius.,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Elwira Bemand,918190244-1,"Reinger, Ondricka and Wisozk",2000,Health,Shelf B3,false,false,"{""$date"":""2025-10-07T11:09:10.000Z""}","{""$date"":""2025-10-07T11:09:10.000Z""}"
In eleifend quam a odio.,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Guy Meacher,396962244-1,"Labadie, Lubowitz and Hintz",2006,Psychology,Shelf B1,false,true,"{""$date"":""2024-11-07T14:01:17.000Z""}","{""$date"":""2024-11-07T14:01:17.000Z""}"
Integer ac neque.,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Coralyn Fenn,690536385-5,Stroman Inc,2009,Medicine,Shelf C1,false,false,"{""$date"":""2025-01-08T18:01:58.000Z""}","{""$date"":""2025-01-08T18:01:58.000Z""}"
In sagittis dui vel nisl.,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Shermy Springthorpe,870460945-X,Pouros-Heathcote,1998,Technology,Shelf C2,true,false,"{""$date"":""2025-04-09T18:16:36.000Z""}","{""$date"":""2025-04-09T18:16:36.000Z""}"
Morbi non quam nec dui luctus rutrum.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Magdalene Tuttiett,833610338-4,"Kiehn, Haag and Abernathy",2002,Science,Shelf B2,true,true,"{""$date"":""2025-05-17T16:24:29.000Z""}","{""$date"":""2025-05-17T16:24:29.000Z""}"
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Enrique Prestwich,163704941-2,Thiel-Powlowski,1986,Religion,Shelf A1,true,false,"{""$date"":""2025-01-27T09:37:19.000Z""}","{""$date"":""2025-01-27T09:37:19.000Z""}"
In hac habitasse platea dictumst.,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Erik Fury,581260346-4,Olson-Mohr,2002,Sociology,Shelf C2,false,true,"{""$date"":""2024-12-16T16:49:13.000Z""}","{""$date"":""2024-12-16T16:49:13.000Z""}"
